Train;;Validation;;Test;;
0000000007.png;;0000000005.png;;0000000009.png;;Unique
0000000008.png;;0000000055.png;;0000000059.png;;Unique
0000000010.png;;0000000106.png;;0000000110.png;;Unique
0000000011.png;;0000000156.png;;0000000160.png;;Unique
0000000012.png;;0000000206.png;;0000000210.png;;Unique
0000000014.png;;0000000257.png;;0000000261.png;;Unique
0000000015.png;;0000000307.png;;0000000311.png;;Unique
0000000016.png;;0000000358.png;;0000000361.png;;Unique
0000000018.png;;0000000408.png;;0000000412.png;;Unique
0000000019.png;;0000000458.png;;0000000462.png;;Unique
0000000021.png;;0000000509.png;;0000000513.png;;Unique
0000000022.png;;0000000559.png;;0000000563.png;;Unique
0000000023.png;;0000000609.png;;0000000613.png;;Unique
0000000025.png;;0000000660.png;;0000000664.png;;Unique
0000000026.png;;0000000710.png;;0000000714.png;;Unique
0000000027.png;;0000000761.png;;0000000764.png;;Unique
0000000029.png;;0000000811.png;;0000000815.png;;Unique
0000000030.png;;0000000861.png;;0000000865.png;;Unique
0000000031.png;;0000000912.png;;0000000916.png;;Unique
0000000033.png;;0000000013.png;;0000000017.png;;Unique
0000000034.png;;0000000063.png;;0000000067.png;;Unique
0000000035.png;;0000000113.png;;0000000117.png;;Unique
0000000037.png;;0000000164.png;;0000000168.png;;Unique
0000000038.png;;0000000214.png;;0000000218.png;;Unique
0000000039.png;;0000000265.png;;0000000268.png;;Unique
0000000041.png;;0000000315.png;;0000000319.png;;Unique
0000000042.png;;0000000365.png;;0000000369.png;;Unique
0000000043.png;;0000000416.png;;0000000420.png;;Unique
0000000045.png;;0000000466.png;;0000000470.png;;Unique
0000000046.png;;0000000516.png;;0000000520.png;;Unique
0000000047.png;;0000000567.png;;0000000571.png;;Unique
0000000049.png;;0000000617.png;;0000000621.png;;Unique
0000000050.png;;0000000668.png;;0000000671.png;;Unique
0000000052.png;;0000000718.png;;0000000722.png;;Unique
0000000053.png;;0000000768.png;;0000000772.png;;Unique
0000000054.png;;0000000819.png;;0000000823.png;;Unique
0000000056.png;;0000000869.png;;0000000873.png;;Unique
0000000057.png;;0000000919.png;;0000000923.png;;Unique
0000000058.png;;0000000020.png;;0000000024.png;;Unique
0000000060.png;;0000000071.png;;0000000075.png;;Unique
0000000061.png;;0000000121.png;;0000000125.png;;Unique
0000000062.png;;0000000172.png;;0000000175.png;;Unique
0000000064.png;;0000000222.png;;0000000226.png;;Unique
0000000065.png;;0000000272.png;;0000000276.png;;Unique
0000000066.png;;0000000323.png;;0000000327.png;;Unique
0000000068.png;;0000000373.png;;0000000377.png;;Unique
0000000069.png;;0000000423.png;;0000000427.png;;Unique
0000000070.png;;0000000474.png;;0000000478.png;;Unique
0000000072.png;;0000000524.png;;0000000528.png;;Unique
0000000073.png;;0000000575.png;;0000000578.png;;Unique
0000000074.png;;0000000625.png;;0000000629.png;;Unique
0000000076.png;;0000000675.png;;0000000679.png;;Unique
0000000077.png;;0000000726.png;;0000000730.png;;Unique
0000000078.png;;0000000776.png;;0000000780.png;;Unique
0000000080.png;;0000000826.png;;0000000830.png;;Unique
0000000081.png;;0000000877.png;;0000000881.png;;Unique
